HSK Level,Word
3,阿姨
3,啊
5,唉
6,哎哟
6,挨
6,癌症
3,矮
1,爱
6,爱不释手
6,爱戴
3,爱好
5,爱护
6,暧昧
4,爱情
5,爱惜
5,爱心
3,安静
6,安居乐业
6,安宁
4,安排
4,安全
5,安慰
6,安详
6,安置
5,安装
5,岸
4,暗
6,案件
6,案例
6,按摩
4,按时
6,暗示
4,按照
6,昂贵
6,凹凸
6,熬
6,奥秘
1,八
6,扒
6,疤
6,巴不得
6,巴结
6,拔苗助长
3,把
6,把关
6,把手
5,把握
6,把戏
1,爸爸
6,霸道
6,罢工
2,吧
6,掰
2,白
5,摆
2,百
6,百分点
6,摆脱
6,拜访
6,败坏
6,拜年
6,拜托
3,搬
3,班
6,颁布
6,颁发
6,斑纹
5,班主任
6,版本
3,半
3,办法
3,办公室
5,办理
6,伴侣
6,伴随
6,半途而废
6,扮演
3,帮忙
2,帮助
6,绑架
6,榜样
5,棒
6,磅
5,傍晚
3,包
6,包庇
6,包袱
5,包裹
5,包含
4,包括
6,包围
6,包装
5,包子
5,薄
3,饱
5,宝贝
5,保持
5,保存
6,保管
5,宝贵
6,饱和
4,保护
6,饱经沧桑
5,保留
6,保密
6,保姆
6,保守
6,保卫
5,保险
6,保养
6,保障
4,保证
6,保重
4,抱
6,报仇
6,报酬
6,报答
6,报到
4,报道
6,爆发
6,报复
6,抱负
5,报告
6,曝光
6,暴力
6,暴露
4,报名
4,抱歉
6,报社
6,报销
6,抱怨
6,爆炸
2,报纸
6,悲哀
6,卑鄙
6,悲惨
5,悲观
1,杯子
3,北方
6,北极
1,北京
5,倍
4,被
3,背
6,被动
6,备份
6,被告
5,背景
6,贝壳
6,背叛
6,背诵
6,备忘录
5,被子
6,奔波
6,奔驰
1,本
5,本科
4,本来
5,本领
6,本能
6,本钱
6,本人
6,本身
6,本事
6,本着
5,本质
4,笨
6,笨拙
6,崩溃
6,甭
6,蹦
6,迸发
6,逼迫
6,鼻涕
3,鼻子
2,比
5,彼此
6,比方
4,笔记本
3,比较
5,比例
5,比如
3,比赛
6,比喻
6,比重
6,臂
6,弊病
6,必定
6,弊端
5,毕竟
5,避免
5,必然
6,闭塞
5,必需
3,必须
5,必要
4,毕业
6,碧玉
6,鞭策
5,编辑
6,边疆
6,边界
6,边境
5,鞭炮
6,边缘
6,编织 
6,扁
6,贬低
6,贬义
5,便
4,遍
6,遍布
6,变故
6,辩护
3,变化
6,辩解
6,便利
5,辩论
6,变迁
6,辨认
6,便条
6,便于
6,辩证
6,变质
6,辫子
6,标本
5,标点
6,标记
6,飙升
6,标题
5,标志
4,标准
4,表达
4,表格
6,表决
5,表面
5,表明
5,表情
3,表示
6,表态
5,表现
3,表演
4,表扬
6,表彰
6,憋
2,别
6,别人
6,别墅
6,别致
6,别扭
3,宾馆
6,濒临
6,冰雹
3,冰箱
5,丙
4,饼干
6,并存
5,病毒
6,并非
6,并列
4,并且
6,拨打
6,播放
6,波浪
5,玻璃
6,波涛汹涌
6,剥削
6,播种
6,博大精深
6,搏斗
6,博览会
6,伯母
6,薄弱
4,博士
5,博物馆
5,脖子
6,补偿
5,补充
6,补救
6,哺乳
6,补贴
6,捕捉
1,不
5,布
5,不安
5,不必
4,不但
4,不得不
5,不得了
6,不得已
5,不断
6,步伐
6,不妨
5,部分
6,不敢当
6,布告
6,不顾
4,不管
4,不过
5,不好意思
5,不见得
6,不禁
4,不仅
6,布局
6,不堪
6,不可思议
1,不客气
6,不愧
6,不料
5,部门
5,不免
5,不耐烦
5,不然
5,不如
6,不时
6,部署
6,部位
6,不惜
6,不相上下
6,不像话
6,不屑一顾
6,不言而喻
5,不要紧
6,不由得
6,不择手段
6,不止
6,布置
5,步骤
5,不足
4,擦
4,猜
3,才
5,财产
6,裁缝
6,财富
6,才干
4,材料
6,裁判
6,财务
6,裁员
6,财政
5,踩
5,采访
6,采购
5,彩虹
6,采集
6,采纳
6,彩票
5,采取
1,菜
3,菜单
4,参观
3,参加
5,参考
6,参谋
5,餐厅
5,参与
6,参照
5,残疾
6,残酷
5,惭愧
6,残留
6,残忍
6,灿烂
6,舱
6,苍白
6,仓促
6,仓库
5,操场
6,操劳
6,操练
5,操心
6,操纵
6,操作
6,嘈杂
3,草
6,草案
6,草率
5,册
6,策划
6,测量
6,策略
6,侧面
5,厕所
5,测验
3,层
6,层出不穷
6,层次
5,曾经
5,插
5,差别
6,差距
5,叉子
1,茶
6,查获
6,岔
3,差
4,差不多
6,刹那
6,诧异
5,拆
6,柴油
6,搀
6,馋
6,缠绕
5,产品
5,产生
6,阐述
6,产业
6,颤抖
6,猖狂
6,昌盛
4,尝
2,长
4,长城
6,偿还
4,长江
6,常年
5,常识
6,尝试
5,长途
6,常务
6,场
6,场合
6,敞开
6,场面
6,场所
6,倡导
2,唱歌
6,畅通
6,畅销
6,倡议
5,抄
4,超过
6,超级
6,钞票
3,超市
6,超越
5,朝
5,朝代
6,潮流
6,潮湿
6,嘲笑
4,吵
5,炒
5,吵架
5,车库
5,车厢
5,彻底
6,撤退
6,撤销
6,沉淀
6,陈旧
6,陈列
6,沉闷
5,沉默
6,陈述
6,沉思
6,沉重
6,沉着
5,趁
3,衬衫
6,称心如意
5,称
6,称号
5,称呼
5,称赞
5,乘
6,橙
6,盛
6,承办
6,承包
6,城堡
6,成本
5,承担
5,程度
6,惩罚
5,成分
4,成功
5,成果
3,成绩
6,成交
5,成就
5,诚恳
5,成立
6,承诺
6,澄清
5,承认
4,诚实
3,城市
5,承受
4,成熟
6,成天
4,成为
6,乘务员
6,呈现
6,成效
6,成心
5,程序
5,成语
6,成员
5,成长
6,诚挚
4,乘坐
6,秤
1,吃
4,吃惊
6,吃苦
5,吃亏
6,吃力
3,迟到
6,迟缓
6,持久
6,池塘
5,持续
6,迟疑
5,池子
5,尺子
5,翅膀
6,赤道
6,赤字
5,冲
6,充当
5,充电器
6,冲动
5,充分
6,冲击
5,充满
6,充沛
6,充实
6,冲突
6,充足
6,崇拜
6,重叠
5,重复
6,崇高
6,崇敬
4,重新
6,重阳节
5,宠物
6,抽空
5,抽屉
5,抽象
4,抽烟
6,筹备
6,踌躇
6,稠密
5,丑
6,丑恶
5,臭
2,出
5,出版
6,初步
4,出差
4,出发
5,初级
5,出口
6,出路
6,出卖
5,出色
6,出身
6,出神
4,出生
5,出席
6,出息
3,出现
6,出洋相
1,出租车
5,除
3,厨房
5,除非
3,除了
5,除夕
6,储备
6,储存
6,处分
6,处境
5,处理
6,储蓄
6,处置
6,触犯
2,穿
6,川流不息
6,穿越
2,船
5,传播
6,船舶
6,传达
6,传单
5,传递
5,传染
6,传授
5,传说
5,传统
4,传真
6,喘气
6,串
4,窗户
5,窗帘
6,床单
5,闯
6,创立
6,创新
6,创业
5,创造
6,创作
5,吹
6,吹牛
6,吹捧
6,锤
6,垂直
3,春
6,纯粹
6,纯洁
5,磁带
4,词典
6,词汇
6,慈祥
6,雌雄
3,词语
5,辞职
5,此外
6,刺
2,次
6,伺候
5,刺激
6,次品
6,次序
5,次要
5,匆忙
3,聪明
5,从
6,丛
5,从此
5,从而
4,从来
5,从前
6,从容不迫
5,从事
6,凑合
6,粗鲁
4,粗心
5,醋
5,促进
5,促使
6,窜
5,催
6,摧残
6,脆弱
5,存
5,存在
6,搓
6,磋商
2,错
5,措施
5,错误
6,挫折
6,搭
6,搭档
6,搭配
5,答应
4,答案
6,答辩
6,达成
5,达到
6,答复
4,打扮
6,打包
1,打电话
5,打工
6,打官司
6,打击
6,打架
5,打交道
2,打篮球
6,打量
6,打猎
5,打喷嚏
4,打扰
3,打扫
3,打算
5,打听
4,打印
6,打仗
5,打招呼
4,打折
4,打针
1,大
6,大不了
6,大臣
5,大方
4,大概
6,大伙儿
2,大家
6,大厦
4,大使馆
6,大肆
6,大体
5,大象
5,大型
6,大意
4,大约
6,大致
5,呆
6,歹徒
3,带
4,戴
4,代表
6,逮捕
4,大夫
6,代价
5,贷款
6,代理
6,带领
6,怠慢
4,代替
5,待遇
6,担保
5,单纯
5,单调
5,单独
5,担任
5,单位
5,耽误
3,担心
5,单元
6,胆怯
5,胆小鬼
5,淡
6,蛋白质
6,诞辰
3,蛋糕
6,淡季
6,诞生
2,但是
6,淡水
4,当
6,当场
6,当初
5,当代
4,当地
6,当面
6,当前
3,当然
4,当时
6,当事人
6,当务之急
6,当心
6,当选
6,党
5,挡
6,档案
6,档次
4,刀
5,岛
6,倒闭
6,导弹
6,导航
6,捣乱
5,倒霉
6,导向
5,导演
4,导游
6,岛屿
5,导致
5,倒
2,到
4,到处
5,到达
5,道德
4,到底
6,稻谷
5,道理
4,道歉
6,盗窃
6,得不偿失
6,得力
6,得天独厚
4,得意
6,得罪
1,的
2,得
3,地
4,得
3,灯
6,蹬
5,登机牌
5,登记
6,灯笼
6,登陆
6,登录
2,等
4,等
5,等待
5,等候
6,等级
5,等于
6,瞪
3,低
5,滴
6,堤坝 
5,的确
5,敌人
6,敌视
4,底
6,抵达
6,抵抗
6,抵制
5,递
6,地步
6,地道
2,弟弟
3,地方
5,地理
4,地球
5,地区
6,地势
5,地毯
3,地铁
3,地图
5,地位
2,第一
6,递增
5,地震
4,地址
6,地质
6,颠簸
6,颠倒
1,点
6,典礼
5,点头
5,点心
6,典型
6,点缀
6,垫
5,电池
6,奠定
6,惦记
1,电脑
1,电视
5,电台
3,电梯
1,电影
6,电源
3,电子邮件
6,叼
6,雕刻
6,雕塑
6,吊
4,掉
5,钓
4,调查
6,调动
6,跌
5,丁
6,盯
6,叮嘱
5,顶
6,定期
6,定义
4,丢
6,丢人
6,丢三落四
3,东
3,冬
6,东道主
1,东西
6,东张西望
2,懂
6,董事长
5,冻
6,栋
5,洞
6,动荡
5,动画片
6,动机
6,冻结
6,动静
6,动力
6,动脉
6,动身
6,动手
6,动态
3,动物
6,洞穴
6,动员
4,动作
6,兜
1,都
6,陡峭
5,逗
5,豆腐
6,斗争
6,督促
6,都市
1,读
6,独裁
5,独立
6,毒品
5,独特
6,赌博
4,堵车
6,堵塞
5,度过
6,杜绝
4,肚子
6,端
6,端午节
6,端正
3,短
6,短促
5,短信
4,断
3,段
6,断定
6,断断续续
6,断绝
3,锻炼
5,堆
6,堆积
2,对
2,对
5,对比
1,对不起
6,对策
6,对称
5,对待
5,对方
6,对付
4,对话
6,兑换
6,对抗
6,对立
6,对联
4,对面
5,对手
6,队伍
6,兑现
5,对象
6,对应
5,对于
6,对照
5,吨
5,蹲
4,顿
6,顿时
1,多
5,多亏
3,多么
1,多少
6,哆嗦
5,多余
6,多元化
4,朵
5,躲藏
6,堕落
6,额外
6,恶心
3,饿
6,恶化
5,恶劣
6,遏制
6,恩怨
4,而
3,而且
4,儿童
6,而已
1,儿子
3,耳朵
6,耳环
1,二
6,二氧化碳
4,发
5,发表
6,发布
6,发财
5,发愁
5,发达
6,发呆
6,发动
5,发抖
5,发挥
6,发火
6,发觉
5,发明
5,发票
3,发烧
6,发射
4,发生
6,发誓
3,发现
6,发行
5,发言
6,发炎
6,发扬
6,发育
4,发展
5,罚款
4,法律
6,法人
5,法院
6,番
6,翻
4,翻译
6,繁华
6,繁忙
4,烦恼
5,繁荣
5,凡是
6,繁体字
6,繁殖
6,反驳
6,反常
6,反倒
6,反动
4,反对
5,反而
5,反复
6,反感
6,反抗
6,反馈
6,反面
6,反射
6,反思
6,反问
5,反应
4,反映
5,反正
6,反之
6,范畴
1,饭馆
6,泛滥
6,贩卖
4,范围
5,方
5,方案
3,方便
4,方法
4,方面
5,方式
6,方位
4,方向
6,方言
6,方针
5,妨碍
5,房东
2,房间
6,防守
6,防疫
6,防御
6,防止
6,防治
5,仿佛
4,访问
6,纺织
3,放
6,放大
4,放弃
6,放射
6,放手
4,放暑假
5,放松
3,放心
5,非
2,非常
6,非法
1,飞机
6,飞禽走兽
6,飞翔
6,飞跃
6,肥沃
5,肥皂
6,诽谤
6,匪徒
5,肺
6,废除
5,废话
6,沸腾
6,废墟
5,费用
3,分
6,分辨
5,分别
5,分布
6,分寸
5,纷纷
6,吩咐
6,分红
6,分解
6,分裂
6,分泌
6,分明
5,分配
6,分歧
6,分散
6,分手
5,分析
4,…分之…
1,分钟
6,坟墓
6,粉末
6,粉色
6,粉碎
4,份
5,奋斗
6,分量
5,愤怒
6,风暴
6,封闭
6,风度
4,丰富
5,风格
6,风光
6,封建
4,风景
5,疯狂
6,锋利
6,丰满
6,风气
6,风趣
6,丰盛
6,丰收
5,风俗
6,封锁
6,风土人情
6,风味
5,风险
6,逢
5,讽刺
6,奉献
5,否定
6,否决
5,否认
4,否则
6,夫妇
6,夫人
6,敷衍
5,幅
5,扶
5,服从
6,幅度
6,符号
4,符合
6,福利
6,俘虏
6,服气
6,福气
6,辐射
2,服务员
5,服装
6,腐败
5,辅导
6,腐烂
6,腐蚀
6,腐朽
6,抚养
6,俯仰
6,辅助
4,富
6,副
6,负担
6,覆盖
6,附和
6,复活
6,附件
3,附近
5,付款
5,妇女
4,父亲
6,附属
3,复习
6,腹泻
6,复兴
4,复印
6,赋予
6,富裕
4,复杂
4,负责
5,复制
6,副作用
4,改变
5,改革
5,改进
6,改良
5,改善
5,改正
5,盖
5,概括
5,概念
6,盖章
4,干杯
5,干脆
6,尴尬
6,干旱
3,干净
6,干扰
6,干涉
6,甘心
6,干预
4,干燥
3,敢
4,感动
5,感激
5,赶紧
4,感觉
6,感慨
5,赶快
3,感冒
4,感情
6,感染
5,感受
5,感想
4,感谢
5,干
5,干活儿
6,干劲
6,扛
3,刚才
6,刚刚
6,纲领
5,钢铁
6,港口
6,港湾
6,岗位
6,杠杆
2,高
6,高超
6,高潮
5,高档
6,高峰
4,高级
6,高考
6,高明
6,高尚
5,高速公路
1,高兴
6,高涨
5,搞
6,稿件
5,告别
6,告辞
6,告诫
2,告诉
6,割
6,搁
5,胳膊
6,疙瘩
2,哥哥
6,歌颂
5,鸽子
5,隔壁
6,隔阂
6,格局
6,隔离
5,革命
6,格式
5,格外
1,个
4,各
5,个别
5,个人
6,各抒己见
6,个体
5,个性
6,各自
4,个子
2,给
5,根
3,跟
5,根本
3,根据
6,跟前
6,根深蒂固
6,跟随
6,根源
6,跟踪
6,耕地
6,更新
6,更正
5,更
5,更加
6,公安局
5,公布
6,供不应求
5,工厂
5,工程师
6,公道
6,宫殿
6,工夫
5,功夫
6,公告
2,公共汽车
6,公关
6,攻击
6,供给
2,公斤
6,恭敬
4,工具
5,公开
6,功课
6,攻克
6,功劳
4,公里
6,公民
5,功能
5,公平
6,公婆
6,公然
5,工人
6,公认
6,公式
2,公司
6,公务
6,功效
5,工业
6,工艺品
5,公寓
5,公元
3,公园
6,公正
6,公证
5,公主
4,工资
1,工作
6,巩固
6,共和国
6,共计
6,共鸣
4,共同
5,贡献
6,勾结
5,沟通
6,钩子
1,狗
4,够
5,构成
6,构思
4,购物
4,孤单
6,孤独
6,辜负
5,姑姑
4,估计
6,孤立
5,姑娘
6,姑且
5,古代
5,古典
6,股东
6,古董
6,鼓动
6,股份
6,骨干
6,古怪
5,古老
4,鼓励
5,股票
5,骨头
5,鼓舞
4,鼓掌
5,固定
4,顾客
6,顾虑
6,固然
5,故事
5,固体
6,顾问
6,故乡
4,故意
5,雇佣
6,固有
6,故障
6,固执
3,刮风
4,挂
5,挂号
5,乖
5,拐弯
6,拐杖
5,怪不得
3,关
5,官
5,关闭
5,观察
5,观点
6,官方
6,观光
5,关怀
4,关键
5,观念
3,关系
3,关心
3,关于
6,关照
4,观众
4,管理
6,管辖
5,管子
6,罐
6,贯彻
6,灌溉
5,冠军
6,惯例
5,罐头
4,光
6,光彩
5,光滑
6,光辉
5,光临
6,光芒
5,光明
5,光盘
5,光荣
4,广播
5,广场
5,广大
5,广泛
4,广告
6,广阔
4,逛
4,规定
6,规范
6,规格
6,归根到底
6,规划
6,归还
5,规矩
5,规律
5,规模
6,归纳
5,规则
6,规章
6,轨道
2,贵
6,跪
5,柜台
6,贵族
5,滚
6,棍棒
5,锅
6,国防
5,国籍
4,国际
3,国家
5,国庆节
6,国务院
6,果断
4,果然
5,果实
3,果汁
2,过
4,过程
6,过度
6,过渡
5,过分
6,过奖
6,过滤
5,过敏
5,过期
3,过去
6,过失
6,过问
6,过瘾
6,过于
5,过
5,哈
6,嗨
2,还
3,还是
2,孩子
6,海拔
6,海滨
5,海关
5,海鲜
4,海洋
3,害怕
4,害羞
6,含糊
4,寒假
6,寒暄
6,含义
5,喊
6,罕见
4,汗
6,捍卫
1,汉语
4,航班
6,航空
6,行列
6,航天
6,航行
5,行业
5,豪华
6,豪迈
6,毫米
6,毫无
1,好
2,好吃
4,好处
4,好像
2,号
6,耗费
6,好客
4,号码
5,好奇
6,号召
1,喝
6,呵
1,和
3,河
6,和蔼
5,何必
6,合并
6,合成
5,合法
4,合格
6,合乎
6,合伙
6,和解
5,何况
5,合理
6,和睦
5,和平
6,和气
6,合身
4,合适
6,合算
5,合同
6,和谐
5,核心
5,合影
4,盒子
5,合作
2,黑
6,嘿
3,黑板
6,痕迹
1,很
6,狠心
5,恨
6,恨不得
6,哼
5,横
6,哄
6,烘
6,轰动
2,红
6,红包
6,宏观
6,洪水
6,宏伟
6,喉咙
4,猴子
6,吼
4,厚
6,后代
6,后顾之忧
5,后果
4,后悔
4,后来
6,后面
6,后勤
6,候选
6,忽略
4,忽然
5,忽视
5,呼吸
6,呼啸
6,呼吁
5,壶
5,蝴蝶
6,胡乱
6,湖泊
5,胡说
5,胡同
5,糊涂
5,胡须
6,互联网
4,护士
4,互相
3,护照
3,花
5,花生
3,花园
5,滑冰
5,划船
6,华丽
6,华侨
5,华裔
3,画
6,化肥
6,划分
6,画蛇添足
6,化石
5,话题
6,话筒
5,化学
6,化验
6,化妆
5,怀念
4,怀疑
6,怀孕
3,坏
6,欢乐
2,欢迎
4,还
6,环节
3,环境
6,还原
6,缓和
5,缓解
3,换
5,幻想
6,患者
6,荒凉
6,慌忙
6,荒谬
6,荒唐
5,慌张
3,黄
5,皇帝
5,黄瓜
5,皇后
6,黄昏
5,黄金
6,恍然大悟
5,挥
5,灰
5,灰尘
5,恢复
6,辉煌
6,挥霍
5,灰心
1,回
6,回报
6,回避
2,回答
6,回顾
6,回收
4,回忆
6,悔恨
6,毁灭
1,会
6,汇报
6,贿赂
5,汇率
6,会晤
3,会议
5,婚礼
6,昏迷
5,婚姻
6,浑身
6,混合
6,混乱
6,混淆
6,混浊
4,活动
6,活该
6,活力
4,活泼
5,活跃
4,火
5,伙伴
5,火柴
1,火车站
6,火箭
